id_panstwa,id_waluty
TUR,TRY
THA,THB
MEX,MXN
KOR,KRW
MYS,MYR
IDN,IDR
GGY,GBP
TUV,AUD
CAN,CAD
HKG,HKD
GRL,DKK
BGR,BGN
HUN,HUF
SGP,SGD
USA,USD
JPN,JPY
CHN,CNY
ISL,ISK
ISR,ILS
PHL,PHP
BRA,BRL
BTN,INR
HRV,HRK
RUS,RUB
CZE,CZK
NOR,NOK
CHE,CHF
CHL,CLP
LSO,ZAR
ROU,RON
TKL,NZD
SWE,SEK
UKR,UAH
SPM,EUR
